ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
AGO,1.4426256358420726,1.1500015061904427,2.4527545723684274,1.9633300444005921,3.3211974117387255,5.230134686279519,2.077966245052881,2.57147578518925,3.4067351152958953,0.464999977535864,0.49857192982456144,0.40333357897781835,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.007690343991469126,0.03000036500346753,0.039999359651650496,4.292407590393031,3.0542566087640513,3.414951666513033,5.058159256473591,5.3612540945250355,3.3579925044810173,6.613623829414558,7.058618515032008,0,1.0620253972305533,6.4249562001168,0.06688133326903603,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.32000414281410067,0.39363727511349944,0.44383784390063963,0.19999694479239866,0.18592760998167548,0.14799250333447947,0.1899986818691096,0.24,0.32784388637010553,0.10999906768599665,0.1187500307425935,0.5827862456650034,0.18999499436866477,0.27196692778540127,1.700003621613791,1.4866507950004253,1.6539946260311573,1.9399993983017065,3.0200281387072745,2.459854198194875,0.2100044218439089,0.6206345016366591,4.1286084074028504e-4,0,1.4441933440154569e-5,2.0385755280613442,0.9208268827691714,1.9700303161541792,1.4800147547030615,2.099987643642654,0.7599842612630338,2.6700368653502204,2.210065443819707,1.8927895094932068,1.525643103795973,0.4199975027088047
ALB,1.1114353574808054,0.9500000000000001,2.2099872251117803,0.7789946817901245,3.3200043582479846,5.230134686279519,2.2122530329211303,2.57147578518925,3.4067351152958953,0.44798211707286584,0.6099998020674059,0.47001142421934505,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.009999890060356864,0.02000022154773246,0.04,4.070001763654907,3.0542566087640513,4.0152216678414625,2.478668819242307,7.0401868817753765,3.7600375430180413,6.613623829414558,7.058618515032008,0,1.129995320542817,6.539353611636332,0.029999310949020072,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.23999985615960528,0.2899997074440852,0.31493489469052377,0.1999985706475324,0.16,0.08,0.1899992732029944,0.21999917495152838,0.32784388637010553,0.11000045835816107,0.07999904575599981,0.6200067945950092,0.19999984244599442,0.17560996239555007,1.5400034771331508,1.8000080127670088,1.5499988087012462,1.4699999141873976,2.318609927726396,2.4688705955847534,0.2400014129782048,0.6200018249840313,4.1286084074028504e-4,0,1.4441933440154569e-5,1.979996813073712,0.6902859009028599,2.1099744245524295,2.0399326058544727,2.2800195362467153,2.1000705342973016,2.190001510345869,2.2099487716847133,1.8999947101142616,1.525643103795973,0.4199975027088047
ARE,3.369070339438187,0.9500001453315158,2.4527545723684274,2.1,3.3211974117387255,4.943909192227425,2.2122530329211303,2.57147578518925,3.4067351152958953,0.2700076370052406,0.6100005809614466,0.4700094476576722,0.5836367039894627,0.7800096339113679,0.010184672264454036,0.49101530663100657,0.010000042441849362,0.02,0.04000066363606198,4.0699887692665175,3.2100000000000004,2.8246002181286114,5.322128666617373,7.039905912888313,3.759979142939473,6.613623829414558,7.058618515032008,0,1.1300025510401286,6.6700643486724704,0.030000640368852458,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.2399997101365257,0.2899990227588603,0.5429699631755318,0.20000122515988336,0.1600034034225668,0.0799968696196588,0.1900006541220592,0.21999853766046562,0.32784388637010553,0.11000146450820689,0.08,0.6200011937447772,0.1999983345962645,0.204327907837228,1.5399902690968972,1.7999999999999998,1.5632824116232011,1.469999912357325,2.46507708323006,2.4575897302517222,0.2400059612518629,0.6199927000638744,4.1286084074028504e-4,0,1.4441933440154569e-5,1.9900609261275957,1.0528090814217022,2.109987357774968,2.0399971578247023,2.2800082143957283,2.1000093350343843,2.1899833672149325,2.2100154850127196,1.8999906649656162,1.525643103795973,0.4199975027088047
ARG,1.7152752809264777,1.1699980838703947,2.4527545723684274,2.674933833453105,3.3211974117387255,3.580024333591417,2.2122530329211303,2.57147578518925,3.4067351152958953,0.519994706310519,0.47000005368637493,0.40000230429347483,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.007690343991469126,0.4837974529279142,0.1599963500319372,3.9801070689864946,3.0542566087640513,3.9621560231761497,4.95838381319255,6.675781017206263,3.699505803921396,6.613623829414558,7.058618515032008,0,0.8300028515650705,6.290028226591395,0.5499872248786363,3.629110337430039,0.0024999664524093883,0,0,0,0,0,0,0,0,0.012199484134708975,0,0,0.0011074646470953299,0.259999399249769,0.3099992211074846,0.4158133446653338,0.22000009048381697,0.2400052777411268,0.2099914380374493,0.178638180627905,0.26000140926946996,0.32784388637010553,0.10999899043800568,0.08000438180092018,0.5827862456650034,0.2,0.19436263795230027,1.8800013123190435,1.8000296581893678,1.7000025381032753,1.9600010437630266,2.7986770027196752,1.7774283726270703,0.24000000000000002,0.7500304173257087,0.003000110607233713,0,1.4441933440154569e-5,1.9399955129431794,0.6972443095141082,2,1.8699848338618503,2.159954714539867,1.840007405840034,1.9200359389038635,1.259988939582469,1.680017633352226,1.525643103795973,0.4199975027088047
ARM,3.369070884422026,0.949995290349927,2.4527545723684274,2.0999610667704887,3.3199653253034036,5.2300813432057565,2.2122530329211303,2.57147578518925,4.2899524448748085,0.44798211707286584,0.6099994052955131,0.45110325619255537,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.009999989889195695,0.02,0.04000054478099804,3.8451719240255797,3.0542566087640513,3.414951666513033,3.6928210023662325,6.675781017206263,3.759933637494816,6.613623829414558,7.058618515032008,0,1.1300109187334269,6.6699922133540985,0.03,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.2400000187978405,0.29000070984075904,0.3783804313576426,0.20000195926684233,0.1600015985506474,0.08000048328440078,0.19000206568890726,0.2200009198644733,0.32784388637010553,0.11000066883260334,0.07999944947562553,0.6199946520489337,0.20000130551285442,0.20469141502685106,1.5399962297348249,1.7999999999999998,1.5500004378705479,1.470003946329913,2.318609927726396,2.518737231248176,0.24000813586901248,0.6199948899514546,4.1286084074028504e-4,0,1.4441933440154569e-5,1.9824910601892567,0.646941060574261,2.109956583247963,2.0399577370089332,2.2800020118700335,2.0999783596624106,2.1900048180105993,2.169236810588806,1.8999947101142614,1.525643103795973,0.4199975027088047
ATG,1.715276117076183,1.1699990004721907,2.4527545723684274,2.6749319348227942,3.3211974117387255,3.5799936308853066,2.2122530329211303,2.57147578518925,3.4067351152958953,0.5200079004542761,0.47000098648515337,0.4000071150322845,0.409998056113523,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.007690343991469126,0.4837998677540225,0.1599949070537306,3.9800142937362804,3.490002115954295,3.414951666513033,4.021776791931197,6.949928659123336,4.780017432991937,6.613623829414558,7.058618515032008,0,0.829995320542817,6.539353611636332,0.5499888268156424,3.629110337430039,0.00250002275561381,0,0,0,0,0,0,0,0,0.012200046594703733,0,0,0.019999580457720625,0.2599997489471471,0.31000115952271834,0.6264833392352295,0.2200003450944165,0.23999771310959922,0.2099927970344864,0.178638180627905,0.2600016973606043,0.3058961160505381,0.11000190103874706,0.08000041731001961,0.2900011460004584,0.19999517357047192,0.2346394699858869,1.8800014226268809,1.7999922980154555,1.6999967954733772,1.9599989426515751,2.318609927726396,2.215305645980941,0.2391469122617042,0.7500076041001308,0.0030000206215330047,0,1.4441933440154569e-5,1.9967768292302501,0.7197597483866599,1.9999773642989722,1.8699900942713725,2.159997909548789,1.8399958668612686,1.9199744502235603,1.25999464811346,1.679997002922151,1.525643103795973,0.4199975027088047
AUS,1.1114347498724766,0.9500010101486266,2.4527545723684274,0.7789924076145904,3.320063875898255,5.2300718238549395,2.2122530329211303,2.57147578518925,3.4067351152958953,0.269998024886431,0.6099998237778504,0.4699955642861669,0.5836367039894627,0.9967374980580347,0.010184672264454036,0.49101530663100657,0.010000315249815775,0.020000160970329143,0.04,4.070018554004319,3.210013231335452,4.050843190882892,4.81647421221791,7.040042941492217,3.759980446472218,6.613623829414558,7.058618515032008,0,1.1299840769505736,6.539353611636332,0.029999689363817097,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.23999987089840186,0.28999950072395025,0.541071403533985,0.2000005925329004,0.16,0.08000068868151923,0.1899986917844061,0.22000042245488535,0.32784388637010553,0.11000034601277942,0.08000022541306945,0.6200052558055905,0.19999911871367448,0.2130518941732858,1.5400016502069105,1.7999966929303117,1.5499986354422781,1.470000178608335,2.2099790423988392,2.499565176250062,0.23999805314903144,0.6200018249840314,4.1286084074028504e-4,0,1.4441933440154569e-5,1.9799977841791543,0.5774596220888087,2.1100375528086373,2.040008403165192,2.2799808221720435,2.0999836734693877,2.189986841280782,2.210010500525026,1.9000032958702746,1.4700246372844237,0.4199975027088047
AUT,1.111435447567249,0.9500009918470174,2.210089273493225,0.77899497594641,3.3200028853783454,5.230010687854161,2.2122530329211303,2.57147578518925,3.4067351152958953,0.44798211707286584,0.6100004591195757,0.47000574537835005,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.010000026609969691,0.01999986456379384,0.040000634779572795,4.069926039765632,3.209909140327716,4.21357543573287,3.893872856036634,7.040043544152491,3.759948366420369,6.59999083493722,7.058618515032008,0,1.1300512236767217,6.669942302022938,0.03,6.419916263032592,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.23999884457227508,0.29000021661744635,0.45299201095324215,0.1999995456878967,0.16,0.08,0.18999476713762428,0.22000029122396583,0.32784388637010553,0.11000031319968619,0.07999935813087711,0.6200148980059591,0.1999977878797934,0.18349109667387264,1.5399979210287937,1.8000000000000003,1.5499998724742463,1.4700019788799539,2.083629576726822,2.6238727435915448,0.2400008091051297,0.619997822309961,4.1286084074028504e-4,0,1.4441933440154569e-5,1.9836319666410591,0.6045601374059881,2.1100010882576994,2.0400043170126274,2.2799993622245607,2.1000580607702726,2.1899889610312533,2.2099751140605557,1.8999540018399264,1.4700177286474085,0.4199975027088047
AZE,3.36907001512185,0.9499983101828383,2.2100229952184542,2.099997598685452,3.3200311465836094,5.23013468627952,2.2122530329211303,2.57147578518925,4.217188948961559,0.44798211707286584,0.6099999391920241,0.45110325619255537,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.010000024252477997,0.02,0.0399997079993576,3.8451719240255797,3.0542566087640513,3.414951666513033,3.2196145348140943,6.675781017206263,3.7600375430180417,6.613623829414558,7.058618515032008,0,1.1299922790762966,6.539353611636332,0.029999594452104796,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.23999972586145896,0.28999917895000665,0.2802970505463832,0.19999385107298775,0.15999905691516952,0.08000295159386069,0.19000499512380772,0.21999954556815343,0.32784388637010553,0.11000091057457255,0.07999904575599981,0.6200013369877665,0.19999935063037555,0.23078240887015092,1.5400002964265775,1.799997708760554,1.549994263893669,1.4700029385836026,2.318609927726396,2.5947982784040424,0.23999496760395042,0.6200267672466236,4.1286084074028504e-4,0,1.4441933440154569e-5,1.9805471675790798,0.6105254291502574,2.110032362459547,2.0400224125510285,2.280004124278251,2.100009521693592,2.190020805197649,2.169236810588806,1.8927895094932068,1.525643103795973,0.4199975027088047
BEL,1.1114353752226485,0.9500015118333356,2.21003232870998,0.7789950511683473,3.3199648197009672,5.2300590445517985,2.2122530329211303,2.57147578518925,3.4067351152958953,0.44798211707286584,0.609999917296059,0.45110325619255537,0.5836367039894627,1.2051291251780532,0.010184672264454036,0.49101530663100657,0.009999764673232554,0.01999987370229104,0.040000579374275785,4.069982480046719,3.2099662841411734,3.7645723128690913,4.260973029151713,7.040394208541185,3.759980533207611,6.613623829414558,8.280067160638026,0,1.1299989639452965,6.539353611636332,0.030000000000000002,3.629110337430039,4.890313399893189e-4,0,0,0,0,0,0,0,0,4.0873055515563153e-4,0,0,0.0011074646470953299,0.2399996281957735,0.2900074118994677,0.5141156083854174,0.1999987118879858,0.15999898987348166,0.08000061216369257,0.19000353232073472,0.22000073946721388,0.3400083534434751,0.11000013622307891,0.07999814109117948,0.6199981124952813,0.19999785294843858,0.2109622539695445,1.53999952167986,1.8000186607781545,1.5499997548671136,1.4699981917544,2.5693170648618833,1.991649931307159,0.2400029270434422,0.6199994493543679,4.1286084074028504e-4,0,1.4441933440154569e-5,1.980346535686876,0.5826151074110875,2.110008927685745,2.0400088908646365,2.280019035338184,2.0999507934555295,2.189970195671893,2.2098917912511293,1.8999914876023007,1.4699970800077868,0.4199975027088047
