ISO3,wheat,rice,barley,maize,rye,oats,millet,sorghum,othr_grains,cassava,potato,sweet_potato,yams,othr_roots,sugar_cane,sugar_non,raw_sugar,sweeteners,honey,beans,peas,othr_pulse,nuts,soyabeans,groundnut,seed_sunflower,seed_rape,seed_cotton,coconuts,seed_sesame,preserved_olives,seed_oilcrop,oil_soyabeans,oil_groundnut,oil_sunflower,oil_rape,oil_cotton,oil_palmkernel,oil_palm,oil_coconut,oil_sesame,oil_olive,oil_ricebran,oil_maize,oil_oilcrop,tomato,onion,othr_vegetables,orange,lemon,grapefruit,citrus,banana,plantains,apple,pineapple,dates,grapes,othr_fruits,beef,lamb,pork,poultry,othr_meat,offals,butter,cream,fat_ani,oil_fish_body,oil_fish_liver,eggs,milk,fish_freshw,fish_demrs,fish_pelag,fish_marine,crustaceans,cephalopods,othr_molluscs,fish_aquatic,fish_aquaticplant
LCA,0.001473594785644285,0.0017100021585980884,0.005867366772837565,0.0016253120345164108,0.0036700093647380225,0.006259925835323355,0.0074496329672726815,0.0015743346963943746,0.0078833643255790415,0.0010000276327060708,0.001159999021775966,0.001510018277752871,0.00177992224167041,0.0013441829006353887,8.190384930964528e-5,8.067936169524056e-5,6.999902992371293e-5,5.299819035058124e-4,3.6000292002774024e-4,0.008410069831582653,0.00814996071755925,0.007788003599281418,0.014517331534700159,0.016579797426772513,0.011439926999898611,0.017999877104584,0.009837625849077143,0,0.004349956915122791,0.019158824915328884,0.0022599689752714662,0.016270004679457183,0,0,0,0,0,0,0,0,0,0,0,0,0,5.900041999160017e-4,3.89998288730633e-4,9.569077013569928e-4,4.299993842490918e-4,6.499860784164832e-4,4.6999813735664294e-4,9.499905045261758e-4,7.7999254228008e-4,8.100107642626481e-4,2.699977913759728e-4,0.0010999749310604161,0.003620051742843631,0.0011899910962132718,0.0010235655221127729,6.900014075916108e-4,0.0025599885736050276,5.49987040632927e-4,7.700011090346597e-4,0.0016272856115796882,0.0017237910000621342,1.5945781708254732e-4,6.000121669302835e-5,0,0,0,7.199887989273801e-4,2.4870550105299185e-4,7.199971705453774e-4,3.099993842743673e-4,6.4e-4,3.69998048018739e-4,0.006690002632775664,0.005869925893153412,0.0019600323267945047,0.0024999978991527157,0.0012999812365546042
LKA,0.001648276831477549,0.0012260174777147458,0.005867366772837565,0.00190645334710958,0.0036700093647380225,0.00626017447165748,0.009594401172206371,0.0015743346963943746,0.006493427684766066,0.001,9.967833044725464e-4,0.0014044272264436331,0.0015760078481816971,0.0014776000911691453,7.000122701537274e-5,6.999756671262877e-5,8.999956788756434e-5,5.299919878928158e-4,3.6421227449699435e-4,0.01,0.009999999999999998,0.018468298443395863,0.0199947815588541,0.016222898493544795,0.01,0.017999888082922338,0.009837625849077143,0,0.009999968229190385,0.02,0.0022600284702704674,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,5.883746413477337e-4,3.1385153917022087e-4,0.0015900099014214252,4.300084838201431e-4,4.424288306043768e-4,4.7274964267277606e-4,9.499940538117015e-4,7.824084164502013e-4,8.099993283030698e-4,2.7e-4,0.0010999897270828338,0.0036200188516535307,0.0011397343299678335,5.811077069207305e-6,6.899754299754299e-4,0.0017999691071980228,5.500143406183674e-4,7.700010503833899e-4,0.0016272856115796882,0.002579138081571108,1.600020713582932e-4,6.046746670661546e-5,0,0,0,7.198855875367045e-4,2.988063868327156e-4,8.999947764312578e-4,0.0011000382033509797,5.805367116498083e-4,5e-4,0.006689995596857547,0.005869925893153412,0.0019600084638171813,0.002500050694514854,0.0012999812365546042
LSO,0.00182058615151,0.00180000374947,0.00536028913767,0.00182822297252,0.00367001499579,0.00625999731792,0.00573614878929,0.00209822966354,0.00802224360861,0.000999996282219,0.000889999915247,0.0012999891842,0.00157023150937,0.00158169934343,8.59516084878e-05,8.48194984748e-05,9.99996278985e-05,0.000530004103521,0.000382104681999,0.00526326583342,0.00836864501864,0.0102114149284,0.0162438107541,0.0152831868661,0.00860001964449,0.0179998839749,0.00983762584908,0,0.00473416860944,0.0315366034264,0.00226029263538,0.0151077781569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145666115734,0.000430988737417,0.000837951183242,0.000509999687403,0.000401038777807,0.000496107588319,0.000950003263691,0.00079874050059,0.000801848139809,0.000299999251781,0.00195498228792,0.00183398502155,0.00118999547501,0.000770730670658,0.000899998742689,0.00160000083204,0.000968299059034,0.000500000154555,0.00148958475524,0.00339754517909,0.000148876451272,9.43524952438e-05,0,0,0,0.000698282373946,0.000122566624025,0.000599998320364,0.00030188583332,0.00070000024016,0.00039000094314,0.00668363407806,0.00586994118136,0.00196000075703,0.00249999789915,0.00129998123655
LTU,0.0014735962160772316,0.0017099823132470402,0.0049798753928433585,0.0016251983324518558,0.0036698686942107273,0.006260022498264762,0.0074496329672726815,0.0015743346963943746,0.0050950124454858465,0.0010000041713195927,0.0011600095271325193,0.0014044272264436331,0.0015760078481816971,0.0014776000911691453,8.190384930964528e-5,8.067936169524056e-5,6.999966051973258e-5,5.299987423032976e-4,3.600020277805941e-4,0.008361515780327705,0.008149794991134753,0.010521300181112024,0.013096328505288276,0.016579797426772513,0.01143999304771009,0.017999888082922338,0.009837625849077143,0,0.004350097031256452,0.019158824915328884,0.0022599562008273175,0.014036702981162066,0,0,0,0,0,0,0,0,0,0,0,0,0,5.900144841100792e-4,3.899960763621112e-4,7.717112056409003e-4,4.300013645740522e-4,6.500067449075948e-4,4.6998642518955065e-4,9.499980375995918e-4,7.800003374616138e-4,8.099787000580908e-4,2.699997287252801e-4,0.0011000456829602559,0.0036199453053783045,0.0011900141438413456,6.86051690315966e-4,6.9e-4,0.0025599664585034313,5.499958259866483e-4,7.699908580834502e-4,0.003816319785832385,0.0013490881050649145,1.5999966234467856e-4,6.000139256881305e-5,0,0,0,7.110843229687394e-4,2.5043133674046165e-4,7.200007859627061e-4,3.099983175540295e-4,6.399946427481127e-4,3.6999127191938427e-4,0.006690057928695899,0.00586997664987096,0.0019600004069134595,0.002499961978921114,0.0012999812365546042
LUX,0.001473566537841773,0.001710046051509466,0.0049799441096515405,0.0016252444377460862,0.003670010578074326,0.0062599872512464965,0.0074496329672726815,0.0015743346963943746,0.004555427827163698,0.0010000041713195927,0.0011599690844195313,0.0015099774183142082,0.0015760078481816971,0.0014776000911691453,8.190384930964528e-5,8.067936169524056e-5,7.000117841881004e-5,5.299963116230777e-4,3.600089651639344e-4,0.008410000966173203,0.008915359682685213,0.010521300181112024,0.014517331534700159,0.01657947245474012,0.011439521132929412,0.017999888082922338,0.00644997627477461,0,0.004349945406332865,0.019158824915328884,0.002259964376441732,0.014036702981162066,0,0,0,0,0,0,0,0,0,0,0,0,0,5.900038475551001e-4,3.899987555178144e-4,0.0010989931279499388,4.3000059468273675e-4,6.499890698436988e-4,4.699860154621494e-4,9.500162179695101e-4,7.799931858918335e-4,8.099989096063678e-4,2.6999529586802174e-4,0.001100008758429989,0.003619986247994499,0.0011900200581276353,7.064622256295366e-4,6.899947834255794e-4,0.0025598859315589355,5.500001348403087e-4,7.699910216932087e-4,0.001585470817518204,0.0034808136212684574,1.6e-4,6.000028627456594e-5,0,0,0,7.064439494441124e-4,2.530433492872097e-4,7.200023097355353e-4,3.1000696678179154e-4,6.399972299488694e-4,3.70014616830236e-4,0.006690108832259272,0.005869840506532019,0.0019600028723251468,0.0024999662038852014,0.0012999812365546042
LVA,0.0014735929310288264,0.0017099759894663466,0.0049799503325332764,0.0016252320965069776,0.0036701002962141265,0.006259992668793237,0.0074496329672726815,0.0015743346963943746,0.005735613413253661,0.0010000041713195927,0.0011600036987300325,0.0014044272264436331,0.0015760078481816971,0.0014776000911691453,8.190384930964528e-5,8.067936169524056e-5,6.999959290476309e-5,5.300143023669177e-4,3.599864819195674e-4,0.008361515780327705,0.008915359682685213,0.010521300181112024,0.012454845854776698,0.01657947245474012,0.011440324449594438,0.017999888082922338,0.009837625849077143,0,0.004350108340708639,0.013999895713838773,0.002260057302091919,0.01627047262517548,0,0,0,0,0,0,0,0,0,0,0,0,0,5.900026355090925e-4,3.9000609384521635e-4,8.098631532534484e-4,4.300006702562613e-4,6.500076557954372e-4,4.6999999999999993e-4,9.500037981414427e-4,7.800212382020301e-4,8.100006684938833e-4,2.700003111678128e-4,0.0010999656475437995,0.003619954875908749,0.0011899953029591358,8.367892806670468e-4,6.900039984006396e-4,0.0025600494297556833,5.499951308713577e-4,7.700053111445517e-4,0.0016272856115796882,0.002184318182221652,1.6000038912019924e-4,5.999933851184064e-5,0,0,0,7.198149161520609e-4,2.509475295829589e-4,7.19990823421452e-4,3.100051699273489e-4,6.399996244960032e-4,3.700011201971547e-4,0.006690016153081511,0.0058699715742553445,0.0019599816007359705,0.0025000456246007845,0.0012999812365546042
MAR,0.0017679848860936275,0.0017100620513444459,0.004980024226738193,0.0016252391670000144,0.003670093685363183,0.006260107816711591,0.0055959613329566536,3.922002609578118e-4,0.0078833643255790415,0.0010000041713195927,0.0011599711715559351,0.0015100009217439397,0.0015760078481816971,0.0014776000911691453,8.190384930964528e-5,8.067936169524056e-5,7.000023289936418e-5,5.300083428928981e-4,3.6e-4,0.008409927995487274,0.008149742629854937,0.008123670130988254,0.01072742227134496,0.016222898493544795,0.011439938679417455,0.017999888082922338,0.009837625849077143,0,0.00435007428725184,0.014,0.002259979882166978,0.014036702981162066,0,0,0,0,0,0,0,0,0,0,0,0,0,5.899927493627839e-4,3.8999630153932485e-4,9.304921764284383e-4,4.299990587054062e-4,6.499773939777556e-4,4.700108459869848e-4,9.500029715915845e-4,7.79972123395345e-4,8.036945617408554e-4,2.7000784156873474e-4,0.0010999577345731193,0.003619930180894954,0.0011900025134298092,7.587207004112268e-4,6.89995584122467e-4,0.002560015654324062,5.5e-4,7.699870619147226e-4,0.0020124516831118247,0.002119755160888135,1.6000045565352106e-4,5.9999999999999995e-5,0,0,0,7.199949613770555e-4,2.6364072766922077e-4,7.199900969088208e-4,3.100051921079959e-4,6.400012905203217e-4,3.699861687413555e-4,0.006690052586017545,0.005869953630833369,0.0019600084638171813,0.0024999978991527157,0.0012999812365546042
MDA,0.0014736235012394812,0.001710069893864872,0.00498014856557377,0.0016252749455664493,0.0036700794951900774,0.006260234783466509,0.0074496329672726815,0.0015743346963943746,0.0078833643255790415,0.0010000041713195927,0.0011599598332628369,0.0014044272264436331,0.0015760078481816971,0.0014776000911691453,8.190384930964528e-5,8.067936169524056e-5,7.000009808056337e-5,5.3000051228196e-4,3.6000673854447445e-4,0.008361515780327705,0.008149937376990516,0.010521300181112024,0.011125236222162499,0.016222898493544795,0.011440133301594858,0.017999888082922338,0.009837625849077143,0,0.0043498982241875475,0.01399981750159686,0.0022600876028670033,0.014036702981162066,0,0,0,0,0,0,0,0,0,0,0,0,0,5.899940007277806e-4,3.900013317486362e-4,8.418123883502316e-4,4.2999676160809287e-4,6.500084132592967e-4,4.700020255215718e-4,9.499980375995917e-4,7.799925205684366e-4,8.036945617408554e-4,2.7000080308384194e-4,0.0011000178922884237,0.003619918576900708,0.0011900121399071582,7.765370705686686e-4,6.899863760217983e-4,0.002559996524459119,5.500008842931844e-4,7.700009939296667e-4,0.0014489504597889331,0.0012546607422596295,1.599986490594076e-4,6.000097333073779e-5,0,0,0,7.199024644547586e-4,2.7490017539276787e-4,7.199921536458798e-4,3.1000185908161375e-4,6.4e-4,3.6999867015381885e-4,0.0066900266043735,0.005869925893153412,0.0019600084638171813,0.0024999978991527157,0.0012999812365546042
MDG,0.0018205966489579079,0.0018000075541578407,0.005867366772837565,0.0018954610447764462,0.0036701098660437276,0.006259997265157376,0.0074496329672726815,0.0022410651889858894,0.008100168499467897,9.999883303232432e-4,8.899956867436542e-4,0.0012999957000246682,0.0015760078481816971,0.0019999685279746965,9.000472111688136e-5,8.067936169524056e-5,1.0000197564035443e-4,5.29987590335061e-4,3.9999999999999996e-4,0.004746932711764555,0.00815018493284018,0.010705739344104901,0.02128333853287292,0.01502682775486367,0.00859995828553551,0.017999888082922338,0.009837625849077143,0,0.004200000000000001,0.019158824915328884,0.002260504685136855,0.014036702981162066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014566714194092112,4.4000431429650004e-4,0.0011981360236011122,5.100025660764691e-4,3.7001285549967297e-4,5e-4,9.500047344001514e-4,7.999898991174353e-4,8.036945617408554e-4,3.0000858295425284e-4,0.001954992481462917,0.0034189603580440228,0.0011899964776329694,7.379109739615397e-4,8.999764690063197e-4,0.0015999842915488532,0.001,4.999914379163314e-4,0.0014091449414796692,0.004107850079667313,1.5945781708254732e-4,6.046746670661546e-5,0,0,0,6.827110229764545e-4,1.000162865674595e-4,5.999785107983239e-4,3.0000369439929075e-4,7.000042960862654e-4,3.8999314990295695e-4,0.006689951819948114,0.005869925893153412,0.001959997437394406,0.002499954375399215,0.0012999812365546042
MDV,0.003885344519014582,0.0017100345684099676,0.004980107311019454,0.0031400182500253473,0.0036700093647380225,0.006259885630855335,0.007312450834572797,0.0015743346963943746,0.0078833643255790415,0.001,0.0011600085390198588,0.001510028653295129,0.001780027890620263,0.001223752692582595,8.190384930964528e-5,8.067936169524056e-5,7.000012981618029e-5,5.299976155976596e-4,3.599962148351426e-4,0.0084099826626517,0.008150013687380235,0.010039596718651669,0.010827590801736807,0.01657995912010901,0.011440191886536657,0.01799993240731353,0.009837625849077143,0,0.004350012630031919,0.01399981750159686,0.0022599949070537307,0.014036702981162066,0,0,0,0,0,0,0,0,0,0,0,0,0,5.900050464929288e-4,3.899995184530572e-4,8.863714560132981e-4,4.300060137609e-4,6.499888991087571e-4,4.699863780838505e-4,9.499849049008754e-4,7.799851223034175e-4,8.036945617408554e-4,2.7000100009311217e-4,0.0011000178659632382,0.003619981173003725,0.001189983762071618,6.874653653304699e-4,6.899990420538366e-4,0.0025600452105114437,5.500173822353554e-4,7.699844132709865e-4,0.0015667146604930462,0.0018313999799752154,1.5945781708254732e-4,6.046746670661546e-5,0,0,0,7.198763488498063e-4,2.422689069494038e-4,7.200024252713272e-4,3.099986278186891e-4,6.399786655636618e-4,3.7000176328567936e-4,0.00668979965955218,0.005869982994372935,0.0019600460528362944,0.0024999978991527157,0.0012999812365546042
